sq_map_id,scale_id,question_id,display_order,created_at
IADL/2026/IADL/001,IADL/2026,IADL/001,1,2026-09-04 00:00:00+00
IADL/2026/IADL/002,IADL/2026,IADL/002,2,2026-09-04 00:00:00+00
IADL/2026/IADL/003,IADL/2026,IADL/003,3,2026-09-04 00:00:00+00
IADL/2026/IADL/004,IADL/2026,IADL/004,4,2026-09-04 00:00:00+00
IADL/2026/IADL/005,IADL/2026,IADL/005,5,2026-09-04 00:00:00+00
IADL/2026/IADL/006,IADL/2026,IADL/006,6,2026-09-04 00:00:00+00
IADL/2026/IADL/007,IADL/2026,IADL/007,7,2026-09-04 00:00:00+00
IADL/2026/IADL/008,IADL/2026,IADL/008,8,2026-09-04 00:00:00+00
IBS-SSS/2026/IBS-SSS/001,IBS-SSS/2026,IBS-SSS/001,1,2026-09-04 00:00:00+00
IBS-SSS/2026/IBS-SSS/002,IBS-SSS/2026,IBS-SSS/002,2,2026-09-04 00:00:00+00
IBS-SSS/2026/IBS-SSS/003,IBS-SSS/2026,IBS-SSS/003,3,2026-09-04 00:00:00+00
IBS-SSS/2026/IBS-SSS/004,IBS-SSS/2026,IBS-SSS/004,4,2026-09-04 00:00:00+00
IBS-SSS/2026/IBS-SSS/005,IBS-SSS/2026,IBS-SSS/005,5,2026-09-04 00:00:00+00
IBS-SSS/2026/IBS-SSS/006,IBS-SSS/2026,IBS-SSS/006,6,2026-09-04 00:00:00+00
IBS-SSS/2026/IBS-SSS/007,IBS-SSS/2026,IBS-SSS/007,7,2026-09-04 00:00:00+00
ISI/2026/ISI/001,ISI/2026,ISI/001,1,2026-09-04 00:00:00+00
ISI/2026/ISI/002,ISI/2026,ISI/002,2,2026-09-04 00:00:00+00
ISI/2026/ISI/003,ISI/2026,ISI/003,3,2026-09-04 00:00:00+00
ISI/2026/ISI/004,ISI/2026,ISI/004,4,2026-09-04 00:00:00+00
ISI/2026/ISI/005,ISI/2026,ISI/005,5,2026-09-04 00:00:00+00
ISI/2026/ISI/006,ISI/2026,ISI/006,6,2026-09-04 00:00:00+00
ISI/2026/ISI/007,ISI/2026,ISI/007,7,2026-09-04 00:00:00+00
KPS/2026/KPS/001,KPS/2026,KPS/001,1,2026-09-04 00:00:00+00
KPS/2026/KPS/002,KPS/2026,KPS/002,2,2026-09-04 00:00:00+00
